;CO_CURSO;DS_TURNO_ALUNO;DS_COR_RAÇA_ALUNO;IN_SEXO_ALUNO;NU_ANO_ALUNO_NASC;NU_MES_ALUNO_NASC;NU_DIA_ALUNO_NASC;CO_NACIONALIDADE_ALUNO;IN_DEF_AUDITIVA;IN_DEF_FISICA;IN_DEF_SUPERDOTACAO;DS_ALUNO_SITUACAO;IN_RESERVA_VAGAS;IN_RESERVA_ETNICO;IN_RESERVA_DEFICIENCIA;IN_RESERVA_ENSINO_PUBLICO;IN_RESERVA_RENDA_FAMILIAR;IN_FINANC_ESTUDANTIL;IN_APOIO_SOCIAL;CO_TIPO_ESCOLA_ENS_MEDIO;ANO_INGRESSO
130;12317;Noturno;;1;1985;10;17;1;;;;Desvinculado do curso;0;;;;;;0;0;2013
131;12317;Noturno;;0;1986;6;9;1;;;;Cursando;1;1.0;0.0;1.0;1.0;;0;1;2016
132;12317;Noturno;;0;1986;2;2;1;;;;Cursando;1;1.0;0.0;1.0;0.0;;0;1;2014
133;12317;Noturno;;1;1986;10;14;1;;;;Desvinculado do curso;1;1.0;0.0;1.0;0.0;;0;1;2014
134;12317;Matutino;;0;1986;5;27;1;;;;Formado;1;1.0;0.0;1.0;1.0;;0;1;2014
135;12317;Matutino;;1;1984;8;28;1;;;;Cursando;1;1.0;0.0;1.0;0.0;;0;1;2014
136;12317;Noturno;;1;1987;8;5;1;;;;Cursando;1;1.0;0.0;1.0;1.0;;0;1;2015
137;12317;Noturno;;0;1956;10;4;1;;;;Formado;0;;;;;;0;0;2010
138;12317;Noturno;;0;1975;9;9;1;;;;Cursando;0;;;;;;0;0;2011
139;12317;Matutino;;0;1988;3;13;1;;;;Matrícula trancada;1;0.0;0.0;1.0;0.0;;0;1;2015
140;12317;Noturno;;1;1989;1;13;1;;;;Matrícula trancada;1;0.0;0.0;1.0;1.0;;0;1;2014
141;12317;Noturno;;1;1987;10;5;1;;;;Cursando;0;;;;;;0;0;2013
142;12317;Matutino;;1;1986;4;25;1;;;;Cursando;0;;;;;;0;0;2013
143;12317;Noturno;;0;1985;2;21;1;;;;Cursando;0;;;;;;0;0;2009
144;12317;Noturno;;0;1978;4;26;1;;;;Cursando;1;0.0;0.0;1.0;1.0;;0;1;2015
145;12317;Noturno;;0;1987;4;10;1;;;;Cursando;0;;;;;;0;0;2013
146;12317;Matutino;;1;1988;1;20;1;;;;Cursando;0;;;;;;0;0;2015
147;12317;Noturno;;0;1987;7;16;1;;;;Formado;0;;;;;;0;0;2013
148;12317;Matutino;;0;1984;7;17;1;;;;Desvinculado do curso;1;1.0;0.0;1.0;0.0;;0;1;2014
149;12317;Noturno;;0;1988;6;2;1;;;;Matrícula trancada;0;;;;;;0;0;2013
150;12317;Noturno;;0;1987;2;25;1;;;;Cursando;0;;;;;;0;0;2015
151;12317;Matutino;;0;1987;7;30;1;;;;Desvinculado do curso;0;;;;;;0;0;2014
152;12317;Matutino;;0;1976;4;27;1;;;;Matrícula trancada;0;;;;;;0;0;2006
153;12317;Noturno;;0;1987;12;3;1;;;;Desvinculado do curso;1;1.0;0.0;1.0;0.0;;0;1;2015
154;12317;Noturno;;0;1988;9;21;1;;;;Cursando;0;;;;;;0;0;2016
155;12317;Noturno;;0;1988;12;24;1;;;;Cursando;0;;;;;;0;0;2014
156;12317;Noturno;;0;1987;11;6;1;;;;Cursando;1;0.0;0.0;1.0;1.0;;0;1;2016
157;12317;Noturno;;0;1985;9;17;1;;;;Cursando;0;;;;;;0;0;2016
158;12317;Noturno;;0;1989;9;27;1;;;;Desvinculado do curso;0;;;;;;0;0;2012
159;12317;Noturno;;0;1987;1;20;1;;;;Cursando;0;;;;;;0;0;2016
160;12317;Noturno;;0;1988;12;29;1;;;;Matrícula trancada;0;;;;;;0;0;2014
161;12317;Noturno;;1;1989;5;11;1;;;;Cursando;0;;;;;;0;0;2014
162;12317;Matutino;;1;1988;8;30;1;;;;Cursando;0;;;;;;0;0;2015
163;12317;Noturno;;0;1989;7;3;1;;;;Desvinculado do curso;0;;;;;;0;0;2016
164;12317;Matutino;;0;1987;11;19;1;;;;Cursando;1;1.0;0.0;1.0;0.0;;0;1;2016
165;12317;Noturno;;0;1986;8;7;1;;;;Cursando;1;1.0;0.0;1.0;1.0;;0;1;2015
166;12317;Noturno;;1;1987;9;13;1;;;;Desvinculado do curso;0;;;;;;0;0;2015
167;12317;Matutino;;1;1989;7;17;1;;;;Cursando;0;;;;;;0;0;2016
168;12317;Matutino;;0;1978;11;20;1;;;;Desvinculado do curso;1;1.0;0.0;1.0;0.0;;0;1;2016
169;12317;Noturno;;0;1987;4;14;1;;;;Cursando;0;;;;;;0;0;2009
170;12317;Matutino;;1;1989;6;20;1;;;;Matrícula trancada;0;;;;;;0;0;2015
171;12317;Noturno;;1;1988;2;17;1;;;;Cursando;0;;;;;;0;0;2012
172;12317;Noturno;;0;1989;11;2;1;;;;Cursando;0;;;;;;0;0;2015
173;12317;Noturno;;1;1988;2;8;1;;;;Cursando;0;;;;;;0;0;2014
174;12317;Noturno;;0;1981;11;9;1;;;;Matrícula trancada;0;;;;;;0;0;2016
175;12317;Noturno;;0;1987;11;21;1;;;;Cursando;0;;;;;;0;0;2016
176;12317;Noturno;;0;1984;1;15;1;;;;Cursando;0;;;;;;0;0;2013
177;12317;Matutino;;0;1967;5;28;1;;;;Formado;1;0.0;0.0;1.0;0.0;;0;1;2014
178;12317;Noturno;;0;1971;1;16;1;;;;Matrícula trancada;0;;;;;;0;0;2012
179;12317;Noturno;;0;1985;9;23;1;;;;Matrícula trancada;0;;;;;;0;0;2013
